Severity,CVE,Vulnerability,Plugin URL,Affected Plugin,Affected Version,Database,Discovery Date,#Dependents,#Page,Id,C_BUG,Dependencies
M,https://snyk.io/vuln/SNYK-JS-KINDEDITOR-1726913,Cross-site Scripting (XSS),https://snyk.io/vuln/npm:kindeditor,kindeditor,"*",npm,"29 Sep, 2021",0,1,8,no,"grunt,grunt-contrib-concat,grunt-contrib-uglify,grunt-contrib-compress"
M,https://snyk.io/vuln/SNYK-JS-CONFIGHANDLER-1564947,Prototype Pollution,https://snyk.io/vuln/npm:config-handler,config-handler,"*",npm,"07 Oct, 2021",0,1,1,no,"object-merger,eslint"
M,https://snyk.io/vuln/SNYK-JS-I-1726768,Regular Expression Denial of Service (ReDoS),https://snyk.io/vuln/npm:i,i,"<0.3.7",npm,"27 Sep, 2021",0,1,19,no,"vows"
H,https://snyk.io/vuln/SNYK-JS-FSTREAM-174725,Arbitrary File Overwrite,https://snyk.io/vuln/npm:fstream,fstream,"<1.0.12",npm,"15 May, 2019",0,61,1804,no,"graceful-fs,inherits,mkdirp,rimraf,standard,tap"
L,https://snyk.io/vuln/SNYK-JS-DATATABLESNET-1540544,Cross-site Scripting (XSS),https://snyk.io/vuln/npm:datatables.net,datatables.net,"<1.11.3",npm,"27 Sep, 2021",0,1,20,no,"jquery"
M,https://snyk.io/vuln/npm:http-signature:20130418,Unsigned Request Headers,https://snyk.io/vuln/npm:http-signature,http-signature,"<0.10.0 >=0.9.0",npm,"13 Feb, 2017",0,96,2853,no,"assert-plus,jsprim,sshpk,tap,uuid"
M,https://snyk.io/vuln/SNYK-JS-MATERIALIZECSS-1586258,Cross-site Scripting (XSS),https://snyk.io/vuln/npm:materialize-css,materialize-css,"*",npm,"19 Sep, 2021",0,1,29,no,"autoprefixer,babel-preset-es2015,grunt,grunt-babel,grunt-banner,grunt-browser-sync,grunt-concurrent,grunt-contrib-clean,grunt-contrib-compress,grunt-contrib-concat,grunt-contrib-jade,grunt-contrib-jasmine,grunt-contrib-uglify,grunt-contrib-watch,grunt-notify,grunt-postcss,grunt-remove-logging,grunt-rename-util,grunt-sass,grunt-text-replace,husky,jasmine,jasmine-jquery,jquery,lint-staged,node-archiver,node-sass,phantomjs-prebuilt,prettier"
H,https://snyk.io/vuln/SNYK-JS-MINIMATCH-1019388,Regular Expression Denial of Service (ReDoS),https://snyk.io/vuln/npm:minimatch,minimatch,"<3.0.2",npm,"20 Jun, 2016",0,105,3129,no,"brace-expansion,tap"
M,https://snyk.io/vuln/npm:serve-index:20150314,Cross-site Scripting (XSS),https://snyk.io/vuln/npm:serve-index,serve-index,"<1.6.3",npm,"13 Mar, 2015",0,107,3198,no,"accepts,batch,debug,escape-html,http-errors,mime-types,parseurl,after,istanbul,mocha,supertest"
M,https://snyk.io/vuln/SNYK-JS-HERMESENGINE-629268,Denial of Service (DoS),https://snyk.io/vuln/npm:hermes-engine,hermes-engine,"<0.7.0",npm,"10 Sep, 2020",0,26,778,no,""
M,https://snyk.io/vuln/npm:tunnel-agent:20170305,Uninitialized Memory Exposure,https://snyk.io/vuln/npm:tunnel-agent,tunnel-agent,"<0.6.0",npm,"05 Jul, 2017",0,87,2597,no,"safe-buffer"
M,https://snyk.io/vuln/SNYK-JS-MATERIALIZECSS-174148,Cross-site Scripting (XSS),https://snyk.io/vuln/npm:materialize-css,materialize-css,"*",npm,"09 Apr, 2019",0,63,1888,no,"autoprefixer,babel-preset-es2015,grunt,grunt-babel,grunt-banner,grunt-browser-sync,grunt-concurrent,grunt-contrib-clean,grunt-contrib-compress,grunt-contrib-concat,grunt-contrib-jade,grunt-contrib-jasmine,grunt-contrib-uglify,grunt-contrib-watch,grunt-notify,grunt-postcss,grunt-remove-logging,grunt-rename-util,grunt-sass,grunt-text-replace,husky,jasmine,jasmine-jquery,jquery,lint-staged,node-archiver,node-sass,phantomjs-prebuilt,prettier"
M,https://snyk.io/vuln/npm:send:20140912,Directory Traversal,https://snyk.io/vuln/npm:send,send,"< 0.8.4",npm,"12 Sep, 2014",0,108,3211,no,"debug,depd,destroy,encodeurl,escape-html,etag,fresh,http-errors,mime,ms,on-finished,range-parser,statuses,after,eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-markdown,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,istanbul,mocha,supertest"
H,https://snyk.io/vuln/npm:deep-extend:20180409,Prototype Pollution,https://snyk.io/vuln/npm:deep-extend,deep-extend,"<0.5.1",npm,"25 Apr, 2018",0,72,2149,no,"mocha,should"
H,https://snyk.io/vuln/SNYK-JS-KINDEDITOR-72563,Directory Traversal,https://snyk.io/vuln/npm:kindeditor,kindeditor,"*",npm,"06 Nov, 2018",0,68,2017,no,"grunt,grunt-contrib-concat,grunt-contrib-uglify,grunt-contrib-compress"
M,https://snyk.io/vuln/SNYK-JS-KINDEDITOR-1726916,Cross-site Scripting (XSS),https://snyk.io/vuln/npm:kindeditor,kindeditor,"*",npm,"29 Sep, 2021",0,1,9,no,"grunt,grunt-contrib-concat,grunt-contrib-uglify,grunt-contrib-compress"
M,https://snyk.io/vuln/SNYK-JS-BENTO4-1656628,Buffer Overflow,https://snyk.io/vuln/npm:bento4,bento4,"*",npm,"21 Sep, 2021",0,1,25,no,""
H,https://snyk.io/vuln/npm:minimatch:20160620,Regular Expression Denial of Service (ReDoS),https://snyk.io/vuln/npm:minimatch,minimatch,"<3.0.2",npm,"20 Jun, 2016",0,105,3130,no,"brace-expansion,tap"
M,https://snyk.io/vuln/npm:cookie-signature:20160804,Non-Constant Time String Comparison,https://snyk.io/vuln/npm:cookie-signature,cookie-signature,"<1.0.4",npm,"29 Aug, 2016",0,104,3101,no,"mocha,should"
H,https://snyk.io/vuln/SNYK-JS-DATATABLESNET-1016402,Prototype Pollution,https://snyk.io/vuln/npm:datatables.net,datatables.net,"<1.10.23",npm,"17 Dec, 2020",0,20,590,no,"jquery"
H,https://snyk.io/vuln/npm:uri-js:20160804,Regular Expression Denial of Service (ReDoS),https://snyk.io/vuln/npm:uri-js,uri-js,"<3.0.0",npm,"16 Apr, 2017",0,94,2804,no,"punycode,babel-cli,babel-plugin-external-helpers,babel-preset-latest,mocha,mocha-qunit-ui,rollup,rollup-plugin-babel,rollup-plugin-node-resolve,sorcery,typescript,uglify-js"
H,https://snyk.io/vuln/npm:negotiator:20160616,Regular Expression Denial of Service (ReDoS),https://snyk.io/vuln/npm:negotiator,negotiator,"<0.6.1",npm,"16 Jun, 2016",0,105,3131,no,"eslint,eslint-plugin-markdown,mocha,nyc"
H,https://snyk.io/vuln/SNYK-JS-INI-1048974,Prototype Pollution,https://snyk.io/vuln/npm:ini,ini,"<1.3.6",npm,"10 Dec, 2020",0,21,612,no,"eslint,eslint-plugin-import,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,tap"
H,https://snyk.io/vuln/npm:tough-cookie:20160722,Regular Expression Denial of Service (ReDoS),https://snyk.io/vuln/npm:tough-cookie,tough-cookie,">=0.9.7 <2.3.0",npm,"22 Jul, 2016",0,104,3116,no,"psl,punycode,universalify,async,eslint,eslint-config-prettier,eslint-plugin-prettier,genversion,nyc,prettier,vows"
H,https://snyk.io/vuln/npm:extend:20180424,Prototype Pollution,https://snyk.io/vuln/npm:extend,extend,"<2.0.2,>=3.0.0 <3.0.2",npm,"23 Jul, 2018",0,70,2072,no,"@ljharb/eslint-config,covert,eslint,jscs,tape"
M,https://snyk.io/vuln/npm:tough-cookie:20170905,Regular Expression Denial of Service (ReDoS),https://snyk.io/vuln/npm:tough-cookie,tough-cookie,"<2.3.3",npm,"21 Sep, 2017",0,84,2503,no,"psl,punycode,universalify,async,eslint,eslint-config-prettier,eslint-plugin-prettier,genversion,nyc,prettier,vows"
M,https://snyk.io/vuln/npm:http-signature:20150122,Timing Attack,https://snyk.io/vuln/npm:http-signature,http-signature,"<1.0.0",npm,"28 Jun, 2017",0,87,2603,no,"assert-plus,jsprim,sshpk,tap,uuid"
M,https://snyk.io/vuln/npm:send:20151103,Root Path Disclosure,https://snyk.io/vuln/npm:send,send,"<0.11.1",npm,"06 Nov, 2015",0,107,3180,no,"debug,depd,destroy,encodeurl,escape-html,etag,fresh,http-errors,mime,ms,on-finished,range-parser,statuses,after,eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-markdown,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,istanbul,mocha,supertest"
M,https://snyk.io/vuln/npm:brace-expansion:20170302,Regular Expression Denial of Service (ReDoS),https://snyk.io/vuln/npm:brace-expansion,brace-expansion,"<1.1.7",npm,"26 Apr, 2017",0,94,2793,no,"balanced-match,@c4312/matcha,tape"
M,https://snyk.io/vuln/SNYK-JS-MINIMIST-559764,Prototype Pollution,https://snyk.io/vuln/npm:minimist,minimist,"<0.2.1,>=1.0.0 <1.2.3",npm,"11 Mar, 2020",0,38,1116,no,"covert,tap,tape"
H,https://snyk.io/vuln/npm:sshpk:20180409,Regular Expression Denial of Service (ReDoS),https://snyk.io/vuln/npm:sshpk,sshpk,"<1.14.1",npm,"09 Apr, 2018",0,73,2165,no,"asn1,assert-plus,dashdash,getpass,safer-buffer,jsbn,tweetnacl,ecc-jsbn,bcrypt-pbkdf,tape,benchmark,sinon,temp"
M,https://snyk.io/vuln/SNYK-JS-HERMESENGINE-629748,Out-of-Bounds,https://snyk.io/vuln/npm:hermes-engine,hermes-engine,"<0.7.0",npm,"10 Sep, 2020",0,26,779,no,""
M,https://snyk.io/vuln/SNYK-JS-PROMPTS-1729737,Regular Expression Denial of Service (ReDoS),https://snyk.io/vuln/npm:prompts,prompts,"<2.4.2",npm,"08 Oct, 2021",0,1,0,no,"kleur,sisteransi,@babel/cli,@babel/core,@babel/plugin-proposal-object-rest-spread,@babel/preset-env,tap-spec,tape"
M,https://snyk.io/vuln/SNYK-JS-DATATABLESNET-598806,Prototype Pollution,https://snyk.io/vuln/npm:datatables.net,datatables.net,"<1.10.22",npm,"01 Oct, 2020",0,25,739,no,"jquery"
M,https://snyk.io/vuln/SNYK-JS-JOINTJS-1579578,Prototype Pollution,https://snyk.io/vuln/npm:jointjs,jointjs,"<3.4.2",npm,"21 Sep, 2021",0,1,26,no,"backbone,dagre,graphlib,jquery,lodash,@types/backbone,@types/jquery,@types/lodash,@types/dagre,@types/graphlib,async,chai,cheerio,core-js,es-module-shims,express,grunt,grunt-browserify,grunt-compile-docs,grunt-contrib-clean,grunt-contrib-concat,grunt-contrib-copy,grunt-contrib-cssmin,grunt-contrib-qunit,grunt-contrib-uglify,grunt-contrib-watch,grunt-env,grunt-eslint,grunt-karma,grunt-mocha-test,grunt-newer,grunt-shell,grunt-ts,grunt-webpack,handlebars,jit-grunt,karma,karma-chrome-launcher,karma-coverage,karma-phantomjs-launcher,karma-qunit,karma-sinon,load-grunt-config,mocha,open-sans-fontface,phantomjs-prebuilt,prismjs,qunit,requirejs,rollup,rollup-plugin-buble,rollup-plugin-commonjs,rollup-plugin-external-globals,rollup-plugin-json,rollup-plugin-node-resolve,selenium-standalone,serve-static,should,sinon,time-grunt,typescript,webdriverio,webpack,webpack-dev-server"
H,https://snyk.io/vuln/SNYK-JS-HERMESENGINE-1309667,Use After Free,https://snyk.io/vuln/npm:hermes-engine,hermes-engine,"<0.7.0",npm,"16 Jun, 2021",0,7,185,no,""
M,https://snyk.io/vuln/SNYK-JS-MATERIALIZECSS-174144,Cross-site Scripting (XSS),https://snyk.io/vuln/npm:materialize-css,materialize-css,"*",npm,"08 Apr, 2019",0,63,1889,no,"autoprefixer,babel-preset-es2015,grunt,grunt-babel,grunt-banner,grunt-browser-sync,grunt-concurrent,grunt-contrib-clean,grunt-contrib-compress,grunt-contrib-concat,grunt-contrib-jade,grunt-contrib-jasmine,grunt-contrib-uglify,grunt-contrib-watch,grunt-notify,grunt-postcss,grunt-remove-logging,grunt-rename-util,grunt-sass,grunt-text-replace,husky,jasmine,jasmine-jquery,jquery,lint-staged,node-archiver,node-sass,phantomjs-prebuilt,prettier"
M,https://snyk.io/vuln/SNYK-JS-HERMESENGINE-608850,Prototype Pollution,https://snyk.io/vuln/npm:hermes-engine,hermes-engine,"<0.7.0",npm,"28 Aug, 2020",0,27,805,no,""
M,https://snyk.io/vuln/SNYK-JS-HERMESENGINE-1015406,Cross-site Scripting (XSS),https://snyk.io/vuln/npm:hermes-engine,hermes-engine,"<0.7.2",npm,"20 Oct, 2020",0,24,707,no,""
H,https://snyk.io/vuln/SNYK-JS-HERMESENGINE-1727253,Out-of-Bounds,https://snyk.io/vuln/npm:hermes-engine,hermes-engine,"<0.8.0",npm,"30 Sep, 2021",0,1,7,no,""
M,https://snyk.io/vuln/npm:ms:20151024,Regular Expression Denial of Service (ReDoS),https://snyk.io/vuln/npm:ms,ms,"<0.7.1",npm,"06 Nov, 2015",0,107,3181,no,"eslint,expect.js,husky,lint-staged,mocha,prettier"
L,https://snyk.io/vuln/npm:serve-static:20150113,Open Redirect,https://snyk.io/vuln/npm:serve-static,serve-static,"<1.6.5,>=1.7.0 <1.7.2",npm,"13 Jan, 2015",0,107,3201,no,"encodeurl,escape-html,parseurl,send,eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-markdown,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,istanbul,mocha,safe-buffer,supertest"
M,https://snyk.io/vuln/SNYK-JS-EDGEJS-1579556,Cross-site Scripting (XSS),https://snyk.io/vuln/npm:edge.js,edge.js,"<5.3.2",npm,"21 Sep, 2021",0,1,27,no,"@poppinss/inspect,@poppinss/utils,edge-error,edge-lexer,edge-parser,js-stringify,macroable,stringify-attributes,@adonisjs/mrm-preset,@adonisjs/require-ts,@poppinss/dev-utils,@types/node,dedent-js,del-cli,doctoc,eslint,eslint-config-prettier,eslint-plugin-adonis,eslint-plugin-prettier,github-label-sync,husky,japa,mrm,np,prettier,typescript"
M,https://snyk.io/vuln/npm:semver:20150403,Regular Expression Denial of Service (ReDoS),https://snyk.io/vuln/npm:semver,semver,"<4.3.2",npm,"03 Apr, 2015",0,107,3196,no,"lru-cache,tap"
H,https://snyk.io/vuln/SNYK-JS-SSH2-1656673,Command Injection,https://snyk.io/vuln/npm:ssh2,ssh2,"<1.0.0",npm,"21 Sep, 2021",0,1,23,nan,"asn1,bcrypt-pbkdf,cpu-features,nan,@mscdex/eslint-config,eslint"
M,https://snyk.io/vuln/npm:qs:20140806-1,Denial of Service (DoS),https://snyk.io/vuln/npm:qs,qs,"<1.0.0",npm,"06 Aug, 2014",0,108,3213,no,"side-channel,@ljharb/eslint-config,aud,browserify,eclint,eslint,evalmd,for-each,has-symbols,iconv-lite,in-publish,mkdirp,nyc,object-inspect,qs-iconv,safe-publish-latest,safer-buffer,tape"
H,https://snyk.io/vuln/npm:qs:20170213,Prototype Override Protection Bypass,https://snyk.io/vuln/npm:qs,qs,"<6.0.4,>=6.1.0 <6.1.2,>=6.2.0 <6.2.3,>=6.3.0 <6.3.2",npm,"01 Mar, 2017",0,95,2843,no,"side-channel,@ljharb/eslint-config,aud,browserify,eclint,eslint,evalmd,for-each,has-symbols,iconv-lite,in-publish,mkdirp,nyc,object-inspect,qs-iconv,safe-publish-latest,safer-buffer,tape"
L,https://snyk.io/vuln/SNYK-JS-FASTIFYSTATIC-1728398,Open Redirect,https://snyk.io/vuln/npm:fastify-static,fastify-static,"<4.2.4",npm,"06 Oct, 2021",0,1,3,no,"content-disposition,encoding-negotiator,fastify-plugin,glob,p-limit,readable-stream,send,@types/node,@typescript-eslint/eslint-plugin,@typescript-eslint/parser,concat-stream,coveralls,eslint-plugin-typescript,fastify,fastify-compress,handlebars,pre-commit,proxyquire,simple-get,snazzy,standard,tap,tsd,typescript"
M,https://snyk.io/vuln/SNYK-JS-TEDDY-1579557,Cross-site Scripting (XSS),https://snyk.io/vuln/npm:teddy,teddy,"<0.5.9",npm,"07 Oct, 2021",0,1,2,no,"c8,chai,chai-string,codecov,cross-env,eslint,eslint-plugin-mocha,karma,karma-chrome-launcher,karma-cli,karma-coverage,karma-edge-launcher,karma-firefox-launcher,karma-html2js-preprocessor,karma-mocha,karma-spec-reporter,mocha,playwright,standard,webpack,webpack-cli"
H,https://snyk.io/vuln/SNYK-JS-JOINTJS-1024444,Prototype Pollution,https://snyk.io/vuln/npm:jointjs,jointjs,"<3.3.0",npm,"19 Jan, 2021",0,18,538,no,"backbone,dagre,graphlib,jquery,lodash,@types/backbone,@types/jquery,@types/lodash,@types/dagre,@types/graphlib,async,chai,cheerio,core-js,es-module-shims,express,grunt,grunt-browserify,grunt-compile-docs,grunt-contrib-clean,grunt-contrib-concat,grunt-contrib-copy,grunt-contrib-cssmin,grunt-contrib-qunit,grunt-contrib-uglify,grunt-contrib-watch,grunt-env,grunt-eslint,grunt-karma,grunt-mocha-test,grunt-newer,grunt-shell,grunt-ts,grunt-webpack,handlebars,jit-grunt,karma,karma-chrome-launcher,karma-coverage,karma-phantomjs-launcher,karma-qunit,karma-sinon,load-grunt-config,mocha,open-sans-fontface,phantomjs-prebuilt,prismjs,qunit,requirejs,rollup,rollup-plugin-buble,rollup-plugin-commonjs,rollup-plugin-external-globals,rollup-plugin-json,rollup-plugin-node-resolve,selenium-standalone,serve-static,should,sinon,time-grunt,typescript,webdriverio,webpack,webpack-dev-server"
M,https://snyk.io/vuln/SNYK-JS-ZRENDER-1586253,Prototype Pollution,https://snyk.io/vuln/npm:zrender,zrender,"<5.2.1",npm,"19 Sep, 2021",0,1,28,no,"tslib,@microsoft/api-extractor,@types/jest,@typescript-eslint/eslint-plugin,@typescript-eslint/parser,chalk,commander,eslint,fs-extra,jest,jsdom,rollup,rollup-plugin-typescript2,rollup-plugin-uglify,ts-jest,typescript,uglify-js"
M,https://snyk.io/vuln/npm:request:20160119,Remote Memory Exposure,https://snyk.io/vuln/npm:request,request,">2.2.5 <2.68.0",npm,"22 Mar, 2016",0,105,3147,no,"aws-sign2,aws4,caseless,combined-stream,extend,forever-agent,form-data,har-validator,http-signature,is-typedarray,isstream,json-stringify-safe,mime-types,oauth-sign,performance-now,qs,safe-buffer,tough-cookie,tunnel-agent,uuid,bluebird,browserify,browserify-istanbul,buffer-equal,codecov,coveralls,function-bind,karma,karma-browserify,karma-cli,karma-coverage,karma-phantomjs-launcher,karma-tap,nyc,phantomjs-prebuilt,rimraf,server-destroy,standard,tape,taper"
M,https://snyk.io/vuln/SNYK-JS-AXIOS-174505,Denial of Service (DoS),https://snyk.io/vuln/npm:axios,axios,"<0.18.1",npm,"24 Apr, 2019",0,63,1868,no,"follow-redirects,abortcontroller-polyfill,coveralls,es6-promise,grunt,grunt-banner,grunt-cli,grunt-contrib-clean,grunt-contrib-watch,grunt-eslint,grunt-karma,grunt-mocha-test,grunt-ts,grunt-webpack,istanbul-instrumenter-loader,jasmine-core,karma,karma-chrome-launcher,karma-firefox-launcher,karma-jasmine,karma-jasmine-ajax,karma-safari-launcher,karma-sauce-launcher,karma-sinon,karma-sourcemap-loader,karma-webpack,load-grunt-tasks,minimist,mocha,sinon,terser-webpack-plugin,typescript,url-search-params,webpack,webpack-dev-server"
H,https://snyk.io/vuln/SNYK-JS-AXIOS-1579269,Regular Expression Denial of Service (ReDoS),https://snyk.io/vuln/npm:axios,axios,"<0.21.3",npm,"01 Sep, 2021",0,3,64,no,"follow-redirects,abortcontroller-polyfill,coveralls,es6-promise,grunt,grunt-banner,grunt-cli,grunt-contrib-clean,grunt-contrib-watch,grunt-eslint,grunt-karma,grunt-mocha-test,grunt-ts,grunt-webpack,istanbul-instrumenter-loader,jasmine-core,karma,karma-chrome-launcher,karma-firefox-launcher,karma-jasmine,karma-jasmine-ajax,karma-safari-launcher,karma-sauce-launcher,karma-sinon,karma-sourcemap-loader,karma-webpack,load-grunt-tasks,minimist,mocha,sinon,terser-webpack-plugin,typescript,url-search-params,webpack,webpack-dev-server"
M,https://snyk.io/vuln/SNYK-JS-AXIOS-1038255,Server-Side Request Forgery (SSRF),https://snyk.io/vuln/npm:axios,axios,"<0.21.1",npm,"08 Nov, 2020",0,23,677,no,"follow-redirects,abortcontroller-polyfill,coveralls,es6-promise,grunt,grunt-banner,grunt-cli,grunt-contrib-clean,grunt-contrib-watch,grunt-eslint,grunt-karma,grunt-mocha-test,grunt-ts,grunt-webpack,istanbul-instrumenter-loader,jasmine-core,karma,karma-chrome-launcher,karma-firefox-launcher,karma-jasmine,karma-jasmine-ajax,karma-safari-launcher,karma-sauce-launcher,karma-sinon,karma-sourcemap-loader,karma-webpack,load-grunt-tasks,minimist,mocha,sinon,terser-webpack-plugin,typescript,url-search-params,webpack,webpack-dev-server"
L,https://snyk.io/vuln/npm:debug:20170905,Regular Expression Denial of Service (ReDoS),https://snyk.io/vuln/npm:debug,debug,">=1.0.0 <2.6.9,>=3.0.0 <3.1.0",npm,"26 Sep, 2017",0,84,2501,no,"ms,brfs,browserify,coveralls,istanbul,karma,karma-browserify,karma-chrome-launcher,karma-mocha,mocha,mocha-lcov-reporter,xo"
H,https://snyk.io/vuln/npm:qs:20140806,Denial of Service (DoS),https://snyk.io/vuln/npm:qs,qs,"<1.0.0",npm,"06 Aug, 2014",0,108,3214,no,"side-channel,@ljharb/eslint-config,aud,browserify,eclint,eslint,evalmd,for-each,has-symbols,iconv-lite,in-publish,mkdirp,nyc,object-inspect,qs-iconv,safe-publish-latest,safer-buffer,tape"
H,https://snyk.io/vuln/SNYK-JS-ASYNCAPIMODELINA-1657554,Code Injection,https://snyk.io/vuln/npm:%40asyncapi%2Fmodelina,@asyncapi/modelina,"*",npm,"22 Sep, 2021",0,1,22,no,"@apidevtools/json-schema-ref-parser,@asyncapi/parser,change-case,@semantic-release/commit-analyzer,@semantic-release/github,@semantic-release/npm,@semantic-release/release-notes-generator,@types/jest,@typescript-eslint/eslint-plugin,@typescript-eslint/parser,ajv,conventional-changelog-conventionalcommits,cross-env,eslint,eslint-plugin-github,eslint-plugin-security,eslint-plugin-sonarjs,jest,jsdoc-to-markdown,markdown-toc,semantic-release,ts-jest,ts-node,typescript"
M,https://snyk.io/vuln/SNYK-JS-PARSESERVER-1567777,Information Exposure,https://snyk.io/vuln/npm:parse-server,parse-server,"<4.5.1",npm,"20 Aug, 2021",0,3,83,no,"@apollographql/graphql-playground-html,@graphql-tools/links,@graphql-tools/stitch,@graphql-tools/utils,@parse/fs-files-adapter,@parse/push-adapter,@parse/s3-files-adapter,@parse/simple-mailgun-adapter,apollo-server-express,bcryptjs,body-parser,commander,cors,deepcopy,express,follow-redirects,graphql,graphql-list-fields,graphql-relay,graphql-tag,graphql-upload,intersect,jsonwebtoken,jwks-rsa,ldapjs,lodash,lru-cache,mime,mongodb,parse,pg-promise,pluralize,redis,semver,subscriptions-transport-ws,tv4,uuid,winston,winston-daily-rotate-file,ws,@node-rs/bcrypt,@babel/cli,@babel/core,@babel/plugin-proposal-object-rest-spread,@babel/plugin-transform-flow-strip-types,@babel/preset-env,@parse/minami,apollo-cache-inmemory,apollo-client,apollo-link,apollo-link-http,apollo-link-ws,apollo-upload-client,apollo-utilities,babel-eslint,bcrypt-nodejs,cross-env,deep-diff,eslint,eslint-plugin-flowtype,flow-bin,form-data,husky,jasmine,jsdoc,jsdoc-babel,lint-staged,mongodb-runner,node-fetch,nyc,prettier"
H,https://snyk.io/vuln/SNYK-JS-PARSESERVER-1583451,Unsafe Dependency Resolution,https://snyk.io/vuln/npm:parse-server,parse-server,">=4.6.0 <4.10.0,>=4.0.3 <4.1.0,>=4.0.0-beta1 <4.0.2",npm,"08 Sep, 2021",0,2,53,no,"@apollographql/graphql-playground-html,@graphql-tools/links,@graphql-tools/stitch,@graphql-tools/utils,@parse/fs-files-adapter,@parse/push-adapter,@parse/s3-files-adapter,@parse/simple-mailgun-adapter,apollo-server-express,bcryptjs,body-parser,commander,cors,deepcopy,express,follow-redirects,graphql,graphql-list-fields,graphql-relay,graphql-tag,graphql-upload,intersect,jsonwebtoken,jwks-rsa,ldapjs,lodash,lru-cache,mime,mongodb,parse,pg-promise,pluralize,redis,semver,subscriptions-transport-ws,tv4,uuid,winston,winston-daily-rotate-file,ws,@node-rs/bcrypt,@babel/cli,@babel/core,@babel/plugin-proposal-object-rest-spread,@babel/plugin-transform-flow-strip-types,@babel/preset-env,@parse/minami,apollo-cache-inmemory,apollo-client,apollo-link,apollo-link-http,apollo-link-ws,apollo-upload-client,apollo-utilities,babel-eslint,bcrypt-nodejs,cross-env,deep-diff,eslint,eslint-plugin-flowtype,flow-bin,form-data,husky,jasmine,jsdoc,jsdoc-babel,lint-staged,mongodb-runner,node-fetch,nyc,prettier"
H,https://snyk.io/vuln/SNYK-JS-PARSESERVER-559169,Improper Input Validation,https://snyk.io/vuln/npm:parse-server,parse-server,"<4.1.0",npm,"04 Mar, 2020",0,38,1128,no,"@apollographql/graphql-playground-html,@graphql-tools/links,@graphql-tools/stitch,@graphql-tools/utils,@parse/fs-files-adapter,@parse/push-adapter,@parse/s3-files-adapter,@parse/simple-mailgun-adapter,apollo-server-express,bcryptjs,body-parser,commander,cors,deepcopy,express,follow-redirects,graphql,graphql-list-fields,graphql-relay,graphql-tag,graphql-upload,intersect,jsonwebtoken,jwks-rsa,ldapjs,lodash,lru-cache,mime,mongodb,parse,pg-promise,pluralize,redis,semver,subscriptions-transport-ws,tv4,uuid,winston,winston-daily-rotate-file,ws,@node-rs/bcrypt,@babel/cli,@babel/core,@babel/plugin-proposal-object-rest-spread,@babel/plugin-transform-flow-strip-types,@babel/preset-env,@parse/minami,apollo-cache-inmemory,apollo-client,apollo-link,apollo-link-http,apollo-link-ws,apollo-upload-client,apollo-utilities,babel-eslint,bcrypt-nodejs,cross-env,deep-diff,eslint,eslint-plugin-flowtype,flow-bin,form-data,husky,jasmine,jsdoc,jsdoc-babel,lint-staged,mongodb-runner,node-fetch,nyc,prettier"
M,https://snyk.io/vuln/SNYK-JS-PARSESERVER-1021232,Operation on a Resource after Expiration or Release,https://snyk.io/vuln/npm:parse-server,parse-server,"<4.4.0",npm,"23 Oct, 2020",0,24,704,no,"@apollographql/graphql-playground-html,@graphql-tools/links,@graphql-tools/stitch,@graphql-tools/utils,@parse/fs-files-adapter,@parse/push-adapter,@parse/s3-files-adapter,@parse/simple-mailgun-adapter,apollo-server-express,bcryptjs,body-parser,commander,cors,deepcopy,express,follow-redirects,graphql,graphql-list-fields,graphql-relay,graphql-tag,graphql-upload,intersect,jsonwebtoken,jwks-rsa,ldapjs,lodash,lru-cache,mime,mongodb,parse,pg-promise,pluralize,redis,semver,subscriptions-transport-ws,tv4,uuid,winston,winston-daily-rotate-file,ws,@node-rs/bcrypt,@babel/cli,@babel/core,@babel/plugin-proposal-object-rest-spread,@babel/plugin-transform-flow-strip-types,@babel/preset-env,@parse/minami,apollo-cache-inmemory,apollo-client,apollo-link,apollo-link-http,apollo-link-ws,apollo-upload-client,apollo-utilities,babel-eslint,bcrypt-nodejs,cross-env,deep-diff,eslint,eslint-plugin-flowtype,flow-bin,form-data,husky,jasmine,jsdoc,jsdoc-babel,lint-staged,mongodb-runner,node-fetch,nyc,prettier"
